# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.149924471974372864e-03 5.852783918380737305e-01 1.474805083125829697e-02 1.149924471974372864e-03 5.852783918380737305e-01 1.474805083125829697e-02
1.000000000000000000e+03 5.338122695684432983e-02 6.169838365167379379e-03 4.784076660871505737e-02 5.338122695684432983e-02 6.169838365167379379e-03 4.784076660871505737e-02
2.000000000000000000e+03 2.865105634555220604e-03 3.788704983890056610e-03 3.367414465174078941e-03 2.865105634555220604e-03 3.788704983890056610e-03 3.367414465174078941e-03
3.000000000000000000e+03 1.287872903048992157e-02 3.938694484531879425e-03 1.799738034605979919e-02 1.287872903048992157e-02 3.938694484531879425e-03 1.799738034605979919e-02
3.000000000000000000e+03 1.287872903048992157e-02 3.938694484531879425e-03 1.799738034605979919e-02 1.287872903048992157e-02 3.938694484531879425e-03 1.799738034605979919e-02
4.000000000000000000e+03 4.169742576777935028e-03 1.040229480713605881e-02 3.688124706968665123e-03 1.287872903048992157e-02 3.938694484531879425e-03 1.799738034605979919e-02
5.000000000000000000e+03 4.206699784845113754e-03 7.292211521416902542e-03 1.343827811069786549e-03 1.287872903048992157e-02 3.938694484531879425e-03 1.799738034605979919e-02
6.000000000000000000e+03 3.135743085294961929e-03 4.083164501935243607e-03 3.543652128428220749e-04 1.287872903048992157e-02 3.938694484531879425e-03 1.799738034605979919e-02
7.000000000000000000e+03 1.673168502748012543e-03 3.656982735265046358e-04 3.585691447369754314e-04 1.287872903048992157e-02 3.938694484531879425e-03 1.799738034605979919e-02
8.000000000000000000e+03 7.182593108154833317e-04 9.447571937926113605e-05 6.297732033999636769e-05 1.287872903048992157e-02 3.938694484531879425e-03 1.799738034605979919e-02
8.541000000000000000e+03 5.475522484630346298e-04 3.136216400889679790e-05 2.362290797464083880e-05 5.475522484630346298e-04 3.136216400889679790e-05 2.362290797464083880e-05
